Ref,Val,Package,PosX,PosY,Rot,Side
"C1","cap0402_1p0u10V","C_0402_1005Metric_osw",8.000000,34.200000,-90.000000,top
"C2","cap0402_p1u10V","C_0402_1005Metric_osw",9.000000,34.200000,-90.000000,top
"C3","cap0402_4p7u10V","C_0402_1005Metric_osw",-11.000000,7.600000,90.000000,top
"C4","cap0402_4p7u10V","C_0402_1005Metric_osw",14.600000,9.400000,-90.000000,top
"C5","cap0402_p1u10V","C_0402_1005Metric_osw",14.500000,25.200000,0.000000,top
"C6","cap0402_p1u10V","C_0402_1005Metric_osw",-6.400000,7.400000,-90.000000,top
"C7","cap0402_p1u10V","C_0402_1005Metric_osw",-1.254000,3.673000,-90.000000,top
"C8","cap0402_p1u10V","C_0402_1005Metric_osw",-1.354000,6.473000,90.000000,top
"C9","cap0402_p1u10V","C_0402_1005Metric_osw",1.600000,10.600000,0.000000,top
"C10","cap0402_4p7u10V","C_0402_1005Metric_osw",1.946000,6.373000,90.000000,top
"C11","cap0402_4p7u10V","C_0402_1005Metric_osw",1.964000,4.473000,90.000000,top
"C15","cap0402_p1u10V","C_0402_1005Metric_osw",14.600000,35.400000,-90.000000,top
"C16","cap0402_p1u10V","C_0402_1005Metric_osw",7.800000,27.600000,90.000000,top
"C17","cap0402_1p0u10V","C_0402_1005Metric_osw",18.300000,28.800000,-90.000000,top
"D1","LED_redSMD","Harvatek_LED_osw",11.925000,6.600000,180.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",17.860000,8.000000,90.000000,top
"J2","microSD_MEM2067-02-180-00-A_REVB","GCT_MEM2067-02-180-00-A_REVB",-15.500000,23.100000,-90.000000,top
"J3","2169890001","MOLEX_2169890001",-23.000000,11.590000,-90.000000,top
"R1","res0402_470","R_0402_1005Metric_osw",9.600000,9.400000,90.000000,top
"R2","res0402_1k","R_0402_1005Metric_osw",0.600000,21.600000,180.000000,top
"R3","res0402_1k","R_0402_1005Metric_osw",1.400000,19.400000,180.000000,top
"R4","res0402_10k","R_0402_1005Metric_osw",0.600000,22.600000,180.000000,top
"R5","res0402_1k","R_0402_1005Metric_osw",1.400000,24.500000,180.000000,top
"R6","res0402_10k","R_0402_1005Metric_osw",15.800000,11.200000,180.000000,top
"R8","res0402_10k","R_0402_1005Metric_osw",4.600000,3.300000,180.000000,top
"R9","res0402_10k","R_0402_1005Metric_osw",-5.600000,4.400000,0.000000,top
"R10","res0402_10k","R_0402_1005Metric_osw",15.600000,35.400000,-90.000000,top
"R11","res0402_10k","R_0402_1005Metric_osw",-15.220000,35.985000,180.000000,top
"R12","res0402_1k","R_0402_1005Metric_osw",10.600000,25.600000,180.000000,top
"R13","res0402_10k","R_0402_1005Metric_osw",9.000000,7.800000,180.000000,top
"R14","res0402_56k","R_0402_1005Metric_osw",-1.500000,22.700000,180.000000,top
"R15","res0402_0","R_0402_1005Metric_osw",-7.500000,37.200000,-90.000000,top
"R16","res0402_10k","R_0402_1005Metric_osw",-1.200000,10.200000,180.000000,top
"R17","res0402_10k","R_0402_1005Metric_osw",12.800000,32.400000,0.000000,top
"R18","res0402_5p6k","R_0402_1005Metric_osw",-1.900000,21.000000,-90.000000,top
"R20","res0402_10k","R_0402_1005Metric_osw",17.800000,11.200000,180.000000,top
"R21","res0402_10k","R_0402_1005Metric_osw",14.800000,32.400000,180.000000,top
"SW1","SPST_EVQ-P7J01P","SW_EVQ-P7J01P",9.100000,3.500000,32.520000,top
"SW2","SPST_EVQ-P7J01P","SW_EVQ-P7J01P",-9.100000,3.500000,-32.519000,top
"SW3","SPST_EVQ-P7J01P","SW_EVQ-P7J01P",19.900000,35.300000,180.000000,top
"SW4","SPST_EVQ-P7J01P","SW_EVQ-P7J01P",-19.900000,35.300000,180.000000,top
"U1","L96-M33","XCVR_L96-M33",0.000000,33.900000,180.000000,top
"U2","TPS22933","uqfn_1p5x1p5_8_tps22933",-8.800000,8.250000,0.000000,top
"U3","ESP32-MINI-1","XCVR_ESP32-MINI-1",10.950000,18.162500,-90.000000,top
"U4","MCP73831T-2ACI_OT","SOT-23-5",12.200000,8.800000,180.000000,top
"U5","MIC5504-3p3","VREG_MIC5504-3.3YMT-TZ",0.151000,6.227000,180.000000,top
"U7","MIC5504-3p3","VREG_MIC5504-3.3YMT-TZ",0.164000,4.527000,180.000000,top
"U8","23K256-I/SN","SOIC127P600X175-8N_microchipRAM",-2.400000,14.400000,-90.000000,top
"U9","PCF85063ATL/1,118","10-DFN(2.6X2.6)_PCF85063A",12.000000,34.800000,0.000000,top
"U10","BMA400","LGA-12_2x2mm_P0.5mm",10.550000,27.362500,0.000000,top
"U12","esd_USB_IP4234CZ6","SOT-457_ESD",-14.800000,7.800000,180.000000,top
"U13","BH1792GLC-E2","XDCR_BH1792GLC-E2",21.000000,28.000000,0.000000,top
